impactId,evidenceId,incidentId,timestamp,estimatedCapacityRiskKw,affectedGpuCount,affectedRackCount,redundancyState,mitigationState,vendorState,vendorEtaAt,metricName,metricValue,metricUnit,telemetryStatus,confidenceState
IMPACT-GEN-SCN-20260611-CAPACITY,TEL-GEN-SCN-20260611-CAPACITY,INC-GEN-SCN-20260611,2026-06-10T00:15:00Z,260.0,80,3,N_PLUS_0,restore-blocked,vendor-engaged,2026-06-10T02:00:00Z,restore-readiness-score,0.4,ratio,alerting,REVIEW_REQUIRED
IMPACT-GEN-SCN-20260611-WORKFLOW,TEL-GEN-SCN-20260611-WORKFLOW,INC-GEN-SCN-20260611,2026-06-10T00:25:00Z,110.0,24,1,N_PLUS_1,awaiting-signoff,monitoring,,open-blocker-count,3.0,count,warning,REVIEW_REQUIRED
IMPACT-GEN-SCN-20260612-CAPACITY,TEL-GEN-SCN-20260612-CAPACITY,INC-GEN-SCN-20260612,2026-06-10T00:25:00Z,390.0,96,4,N_PLUS_0,load-shed-active,vendor-engaged,2026-06-10T02:10:00Z,ups-output-kw,390.0,kW,alerting,TRUSTED
IMPACT-GEN-SCN-20260612-WORKFLOW,TEL-GEN-SCN-20260612-WORKFLOW,INC-GEN-SCN-20260612,2026-06-10T00:35:00Z,120.0,24,1,N_PLUS_1,capacity-watch,monitoring,,battery-runtime-min,12.0,minute,warning,TRUSTED
IMPACT-GEN-SCN-20260613-CAPACITY,TEL-GEN-SCN-20260613-CAPACITY,INC-GEN-SCN-20260613,2026-06-10T00:35:00Z,280.0,72,3,N_PLUS_0,thermal-throttle-active,vendor-engaged,2026-06-10T02:20:00Z,chw-supply-temp-c,19.5,celsius,alerting,TRUSTED
IMPACT-GEN-SCN-20260613-WORKFLOW,TEL-GEN-SCN-20260613-WORKFLOW,INC-GEN-SCN-20260613,2026-06-10T00:45:00Z,95.0,18,1,N_PLUS_1,fan-curve-adjusted,monitoring,,return-temp-c,28.0,celsius,warning,TRUSTED
IMPACT-GEN-SCN-20260614-CAPACITY,TEL-GEN-SCN-20260614-CAPACITY,INC-GEN-SCN-20260614,2026-06-10T00:45:00Z,160.0,48,2,N_PLUS_1,manual-sampling-active,monitoring,2026-06-10T02:30:00Z,dcim-signal-loss,9.0,count,degraded,REVIEW_REQUIRED
IMPACT-GEN-SCN-20260614-WORKFLOW,TEL-GEN-SCN-20260614-WORKFLOW,INC-GEN-SCN-20260614,2026-06-10T00:55:00Z,60.0,12,1,N_PLUS_1,telemetry-replay-pending,monitoring,,missing-sample-window-min,18.0,minute,degraded,REVIEW_REQUIRED
IMPACT-GEN-SCN-20260615-CAPACITY,TEL-GEN-SCN-20260615-CAPACITY,INC-GEN-SCN-20260615,2026-06-10T00:55:00Z,210.0,64,2,N_PLUS_1,dispatch-pending,parts-review,2026-06-10T02:40:00Z,work-order-age-hours,6.0,hour,warning,TRUSTED
IMPACT-GEN-SCN-20260615-WORKFLOW,TEL-GEN-SCN-20260615-WORKFLOW,INC-GEN-SCN-20260615,2026-06-10T01:05:00Z,80.0,16,1,N_PLUS_1,manual-mitigation-active,monitoring,,engineer-assignment-delay-hours,3.5,hour,warning,REVIEW_REQUIRED
IMPACT-GEN-SCN-20260616-CAPACITY,TEL-GEN-SCN-20260616-CAPACITY,INC-GEN-SCN-20260616,2026-06-10T01:05:00Z,175.0,40,2,N_PLUS_1,validation-hold,monitoring,2026-06-10T02:50:00Z,transfer-test-pass,1.0,boolean,normal,TRUSTED
IMPACT-GEN-SCN-20260616-WORKFLOW,TEL-GEN-SCN-20260616-WORKFLOW,INC-GEN-SCN-20260616,2026-06-10T01:15:00Z,140.0,32,2,N_PLUS_1,evidence-review,monitoring,,manual-check-disagree,1.0,boolean,conflict,REVIEW_REQUIRED
IMPACT-GEN-SCN-20260617-CAPACITY,TEL-GEN-SCN-20260617-CAPACITY,INC-GEN-SCN-20260617,2026-06-10T01:15:00Z,430.0,128,5,N_PLUS_0,workload-evacuation-active,vendor-engaged,2026-06-10T03:00:00Z,affected-gpu-count,128.0,count,alerting,TRUSTED
IMPACT-GEN-SCN-20260617-WORKFLOW,TEL-GEN-SCN-20260617-WORKFLOW,INC-GEN-SCN-20260617,2026-06-10T01:25:00Z,190.0,48,2,N_PLUS_1,capacity-buffer-reduced,monitoring,,repeat-failure-window-days,14.0,day,warning,TRUSTED
IMPACT-GEN-SCN-20260618-CAPACITY,TEL-GEN-SCN-20260618-CAPACITY,INC-GEN-SCN-20260618,2026-06-10T01:25:00Z,260.0,80,3,N_PLUS_0,restore-blocked,vendor-engaged,2026-06-10T03:10:00Z,restore-readiness-score,0.4,ratio,alerting,REVIEW_REQUIRED
IMPACT-GEN-SCN-20260618-WORKFLOW,TEL-GEN-SCN-20260618-WORKFLOW,INC-GEN-SCN-20260618,2026-06-10T01:35:00Z,110.0,24,1,N_PLUS_1,awaiting-signoff,monitoring,,open-blocker-count,3.0,count,warning,REVIEW_REQUIRED
IMPACT-GEN-SCN-20260619-CAPACITY,TEL-GEN-SCN-20260619-CAPACITY,INC-GEN-SCN-20260619,2026-06-10T01:35:00Z,390.0,96,4,N_PLUS_0,load-shed-active,vendor-engaged,2026-06-10T03:20:00Z,ups-output-kw,390.0,kW,alerting,TRUSTED
IMPACT-GEN-SCN-20260619-WORKFLOW,TEL-GEN-SCN-20260619-WORKFLOW,INC-GEN-SCN-20260619,2026-06-10T01:45:00Z,120.0,24,1,N_PLUS_1,capacity-watch,monitoring,,battery-runtime-min,12.0,minute,warning,TRUSTED
IMPACT-GEN-SCN-20260620-CAPACITY,TEL-GEN-SCN-20260620-CAPACITY,INC-GEN-SCN-20260620,2026-06-10T01:45:00Z,280.0,72,3,N_PLUS_0,thermal-throttle-active,vendor-engaged,2026-06-10T03:30:00Z,chw-supply-temp-c,19.5,celsius,alerting,TRUSTED
IMPACT-GEN-SCN-20260620-WORKFLOW,TEL-GEN-SCN-20260620-WORKFLOW,INC-GEN-SCN-20260620,2026-06-10T01:55:00Z,95.0,18,1,N_PLUS_1,fan-curve-adjusted,monitoring,,return-temp-c,28.0,celsius,warning,TRUSTED
IMPACT-GEN-SCN-20260621-CAPACITY,TEL-GEN-SCN-20260621-CAPACITY,INC-GEN-SCN-20260621,2026-06-10T01:55:00Z,160.0,48,2,N_PLUS_1,manual-sampling-active,monitoring,2026-06-10T03:40:00Z,dcim-signal-loss,9.0,count,degraded,REVIEW_REQUIRED
IMPACT-GEN-SCN-20260621-WORKFLOW,TEL-GEN-SCN-20260621-WORKFLOW,INC-GEN-SCN-20260621,2026-06-10T02:05:00Z,60.0,12,1,N_PLUS_1,telemetry-replay-pending,monitoring,,missing-sample-window-min,18.0,minute,degraded,REVIEW_REQUIRED
IMPACT-GEN-SCN-20260622-CAPACITY,TEL-GEN-SCN-20260622-CAPACITY,INC-GEN-SCN-20260622,2026-06-10T02:05:00Z,210.0,64,2,N_PLUS_1,dispatch-pending,parts-review,2026-06-10T03:50:00Z,work-order-age-hours,6.0,hour,warning,TRUSTED
IMPACT-GEN-SCN-20260622-WORKFLOW,TEL-GEN-SCN-20260622-WORKFLOW,INC-GEN-SCN-20260622,2026-06-10T02:15:00Z,80.0,16,1,N_PLUS_1,manual-mitigation-active,monitoring,,engineer-assignment-delay-hours,3.5,hour,warning,REVIEW_REQUIRED
IMPACT-GEN-SCN-20260623-CAPACITY,TEL-GEN-SCN-20260623-CAPACITY,INC-GEN-SCN-20260623,2026-06-10T02:15:00Z,175.0,40,2,N_PLUS_1,validation-hold,monitoring,2026-06-10T04:00:00Z,transfer-test-pass,1.0,boolean,normal,TRUSTED
IMPACT-GEN-SCN-20260623-WORKFLOW,TEL-GEN-SCN-20260623-WORKFLOW,INC-GEN-SCN-20260623,2026-06-10T02:25:00Z,140.0,32,2,N_PLUS_1,evidence-review,monitoring,,manual-check-disagree,1.0,boolean,conflict,REVIEW_REQUIRED
IMPACT-GEN-SCN-20260624-CAPACITY,TEL-GEN-SCN-20260624-CAPACITY,INC-GEN-SCN-20260624,2026-06-10T02:25:00Z,430.0,128,5,N_PLUS_0,workload-evacuation-active,vendor-engaged,2026-06-10T04:10:00Z,affected-gpu-count,128.0,count,alerting,TRUSTED
IMPACT-GEN-SCN-20260624-WORKFLOW,TEL-GEN-SCN-20260624-WORKFLOW,INC-GEN-SCN-20260624,2026-06-10T02:35:00Z,190.0,48,2,N_PLUS_1,capacity-buffer-reduced,monitoring,,repeat-failure-window-days,14.0,day,warning,TRUSTED
IMPACT-GEN-SCN-20260625-CAPACITY,TEL-GEN-SCN-20260625-CAPACITY,INC-GEN-SCN-20260625,2026-06-10T02:35:00Z,260.0,80,3,N_PLUS_0,restore-blocked,vendor-engaged,2026-06-10T04:20:00Z,restore-readiness-score,0.4,ratio,alerting,REVIEW_REQUIRED
IMPACT-GEN-SCN-20260625-WORKFLOW,TEL-GEN-SCN-20260625-WORKFLOW,INC-GEN-SCN-20260625,2026-06-10T02:45:00Z,110.0,24,1,N_PLUS_1,awaiting-signoff,monitoring,,open-blocker-count,3.0,count,warning,REVIEW_REQUIRED
IMPACT-GEN-SCN-20260626-CAPACITY,TEL-GEN-SCN-20260626-CAPACITY,INC-GEN-SCN-20260626,2026-06-10T02:45:00Z,390.0,96,4,N_PLUS_0,load-shed-active,vendor-engaged,2026-06-10T04:30:00Z,ups-output-kw,390.0,kW,alerting,TRUSTED
IMPACT-GEN-SCN-20260626-WORKFLOW,TEL-GEN-SCN-20260626-WORKFLOW,INC-GEN-SCN-20260626,2026-06-10T02:55:00Z,120.0,24,1,N_PLUS_1,capacity-watch,monitoring,,battery-runtime-min,12.0,minute,warning,TRUSTED
IMPACT-GEN-SCN-20260627-CAPACITY,TEL-GEN-SCN-20260627-CAPACITY,INC-GEN-SCN-20260627,2026-06-10T02:55:00Z,280.0,72,3,N_PLUS_0,thermal-throttle-active,vendor-engaged,2026-06-10T04:40:00Z,chw-supply-temp-c,19.5,celsius,alerting,TRUSTED
IMPACT-GEN-SCN-20260627-WORKFLOW,TEL-GEN-SCN-20260627-WORKFLOW,INC-GEN-SCN-20260627,2026-06-10T03:05:00Z,95.0,18,1,N_PLUS_1,fan-curve-adjusted,monitoring,,return-temp-c,28.0,celsius,warning,TRUSTED
IMPACT-GEN-SCN-20260628-CAPACITY,TEL-GEN-SCN-20260628-CAPACITY,INC-GEN-SCN-20260628,2026-06-10T03:05:00Z,160.0,48,2,N_PLUS_1,manual-sampling-active,monitoring,2026-06-10T04:50:00Z,dcim-signal-loss,9.0,count,degraded,REVIEW_REQUIRED
IMPACT-GEN-SCN-20260628-WORKFLOW,TEL-GEN-SCN-20260628-WORKFLOW,INC-GEN-SCN-20260628,2026-06-10T03:15:00Z,60.0,12,1,N_PLUS_1,telemetry-replay-pending,monitoring,,missing-sample-window-min,18.0,minute,degraded,REVIEW_REQUIRED
IMPACT-GEN-SCN-20260629-CAPACITY,TEL-GEN-SCN-20260629-CAPACITY,INC-GEN-SCN-20260629,2026-06-10T03:15:00Z,210.0,64,2,N_PLUS_1,dispatch-pending,parts-review,2026-06-10T05:00:00Z,work-order-age-hours,6.0,hour,warning,TRUSTED
IMPACT-GEN-SCN-20260629-WORKFLOW,TEL-GEN-SCN-20260629-WORKFLOW,INC-GEN-SCN-20260629,2026-06-10T03:25:00Z,80.0,16,1,N_PLUS_1,manual-mitigation-active,monitoring,,engineer-assignment-delay-hours,3.5,hour,warning,REVIEW_REQUIRED
IMPACT-GEN-SCN-20260630-CAPACITY,TEL-GEN-SCN-20260630-CAPACITY,INC-GEN-SCN-20260630,2026-06-10T03:25:00Z,175.0,40,2,N_PLUS_1,validation-hold,monitoring,2026-06-10T05:10:00Z,transfer-test-pass,1.0,boolean,normal,TRUSTED
IMPACT-GEN-SCN-20260630-WORKFLOW,TEL-GEN-SCN-20260630-WORKFLOW,INC-GEN-SCN-20260630,2026-06-10T03:35:00Z,140.0,32,2,N_PLUS_1,evidence-review,monitoring,,manual-check-disagree,1.0,boolean,conflict,REVIEW_REQUIRED
IMPACT-GEN-SCN-20260631-CAPACITY,TEL-GEN-SCN-20260631-CAPACITY,INC-GEN-SCN-20260631,2026-06-10T03:35:00Z,430.0,128,5,N_PLUS_0,workload-evacuation-active,vendor-engaged,2026-06-10T05:20:00Z,affected-gpu-count,128.0,count,alerting,TRUSTED
IMPACT-GEN-SCN-20260631-WORKFLOW,TEL-GEN-SCN-20260631-WORKFLOW,INC-GEN-SCN-20260631,2026-06-10T03:45:00Z,190.0,48,2,N_PLUS_1,capacity-buffer-reduced,monitoring,,repeat-failure-window-days,14.0,day,warning,TRUSTED
IMPACT-GEN-SCN-20260632-CAPACITY,TEL-GEN-SCN-20260632-CAPACITY,INC-GEN-SCN-20260632,2026-06-10T03:45:00Z,260.0,80,3,N_PLUS_0,restore-blocked,vendor-engaged,2026-06-10T05:30:00Z,restore-readiness-score,0.4,ratio,alerting,REVIEW_REQUIRED
IMPACT-GEN-SCN-20260632-WORKFLOW,TEL-GEN-SCN-20260632-WORKFLOW,INC-GEN-SCN-20260632,2026-06-10T03:55:00Z,110.0,24,1,N_PLUS_1,awaiting-signoff,monitoring,,open-blocker-count,3.0,count,warning,REVIEW_REQUIRED
IMPACT-GEN-SCN-20260633-CAPACITY,TEL-GEN-SCN-20260633-CAPACITY,INC-GEN-SCN-20260633,2026-06-10T03:55:00Z,390.0,96,4,N_PLUS_0,load-shed-active,vendor-engaged,2026-06-10T05:40:00Z,ups-output-kw,390.0,kW,alerting,TRUSTED
IMPACT-GEN-SCN-20260633-WORKFLOW,TEL-GEN-SCN-20260633-WORKFLOW,INC-GEN-SCN-20260633,2026-06-10T04:05:00Z,120.0,24,1,N_PLUS_1,capacity-watch,monitoring,,battery-runtime-min,12.0,minute,warning,TRUSTED
IMPACT-GEN-SCN-20260634-CAPACITY,TEL-GEN-SCN-20260634-CAPACITY,INC-GEN-SCN-20260634,2026-06-10T04:05:00Z,280.0,72,3,N_PLUS_0,thermal-throttle-active,vendor-engaged,2026-06-10T05:50:00Z,chw-supply-temp-c,19.5,celsius,alerting,TRUSTED
